직종코드,직종 이름,도입직종 예시
S2620,특수기관 행정요원,"주한 외국공관/문화원/상공회의소 행정·기능요원, 국제기구 행정요원"
2715,경영 및 진단 전문가,"경영 컨설턴트, 외국 법률에 의한 회계사"
272,금융 및 보험전문가,"투자 및 신용 분석가, 자산 운용가, 보험/금융상품 개발자, 증권/외환딜러"
2731,상품기획 전문가,"해외 상품기획자(상품개발 담당자), 해외 마케팅 전문가"
2732,여행상품 개발자,"관광여행 기획자, 여행상품 개발원"
2733,광고 및 홍보 전문가,"광고 전문가, 홍보 전문가"
2734,조사 전문가,해외 시장 조사 전문가
2735,행사 기획자,"공연기획자, 행사·전시 기획자, 국제회의 기획자"
2742,해외 영업원,"해외 영업원, 무역 영업원, 수출입 영업원, 해외 온라인상품 판매원 
+1"
2743,기술 영업원,"각종 산업용 장비, IT 장비, 통신기기, 의료기기, 기계설비 등 기술 영업원"
S2743,기술 경영 전문가,R&D 전략/기술 인프라/제품 및 생산기술/기술사업화/IT컨설팅 전문가
2814,번역가·통역가,"각종 통번역 전문 기업 등의 번역가, 통역가"
28331,아나운서,아나운서
285,디자이너,"제품, 패션, 실내장식(인테리어), 시각 디자이너"
S2855,영상관련 디자이너,"무대 및 세트 디자이너, 웹 디자이너, 게임그래픽 디자이너, 영화 CG 디자이너 등"
31215,면세점 또는 제주특별자치도 내 판매사무원,"면세점 판매 사무원, 제주영어교육도시 상업시설 판매종사자, 음식점 통역·판매사무원 등"
31264,항공운송 사무원,항공운송 사무원
3922,호텔 접수사무원,프런트데스크 담당원
S3922,의료 코디네이터,의료 코디네이터
3991,고객상담 사무원,국제용역 수행 및 해외 영업을 위한 온라인 상담 사무원
431,운송 서비스 종사자,"국제 여객선 승무원, 국제선 항공사 객실승무원, 국내 운수회사 선박 승무원"
43213,관광통역 안내원,관광통역 안내원
43291,카지노 딜러,카지노 딜러
441,주방장 및 조리사,"양식, 중식, 일식, 기타 국가 음식 주방장 및 조리사"
42111,요양보호사,요양보호사
61395,동물사육사,동물사육사
6301,양식기술자,"해삼양식 기술자, 어류/패류/갑각류/해조류 양식 기술자 등 
+1"
7103,할랄 도축원,"도축원, 도살원"
7303,악기 제조 및 조율사,"악기 제조사, 조율사"
7430,조선용접공,"조선분야 숙련용접공 (Tig, CO2, 알곤, 취부용접, 용접사상)"
76212,선박 전기원,"선박전기원, 선박전기 수리원"
78369,선박 도장공,"선박 도장공 (도장 전처리, 도료 작업, 타이코트 작업 등)"
7521,항공기 정비원,"비행기 정비원, 헬리콥터 정비원"
S8417,항공기(부품) 제조원,"항공기구조물조립원, 항공기기계가공원, 판금가공원, 도장원, 열처리원 등"
76231,송전 전기원,송전설비 전기원
S85411,자동차 부품제조원,"자동차금형원, 자동차성형원, 자동차용접원"
S75104,자동차 판금·도장원,"자동차 판금 정비원, 자동차 도장정비원, 자동차 도색원 등"
S71032,도축원,"도살원, 분골원, 축가공기술자"
S85513,건설기계부품제조원,"건설기계(부품) 용접원, 건설기계(부품) 도장원"
S740,뿌리산업체 숙련기능공,뿌리산업체 숙련기능공
S610,농림축산어업 숙련기능인,농림축산어업 숙련기능인
S700,일반 제조업체 및 건설업체 숙련기능공,일반 제조업체 및 건설업체 숙련기능공
